Cruise,ISO_DateTime_UTC,ISO_DateTime_PDT,Line,St,Lat,Long,Tow_Depth,Mesh_Size,Larva_ID,Growth_Stage,Species,SL,BD,HL,Prey_Taxa,Prey_Stage,Length,Width
BBB2101,2021-01-24T20:24Z,2021-01-24T12:24,90,30,33.41795,-117.904683,30,505,RF101,Postflexion,Sebastes semicinctus,10.1106,1.7712,3.6162,Cyclopoida,Nauplii,0.222,0.074
BBB2101,2021-01-24T20:24Z,2021-01-24T12:24,90,30,33.41795,-117.904683,30,505,RF101,Postflexion,Sebastes semicinctus,10.1106,1.7712,3.6162,Calanoida,Copepodite,0.703,0.296
BBB2101,2021-01-24T20:24Z,2021-01-24T12:24,90,30,33.41795,-117.904683,30,505,RF101,Postflexion,Sebastes semicinctus,10.1106,1.7712,3.6162,Cyclopoida,Copepodite,0.4625,0.185
BBB2101,2021-01-24T20:24Z,2021-01-24T12:24,90,30,33.41795,-117.904683,30,505,RF101,Postflexion,Sebastes semicinctus,10.1106,1.7712,3.6162,Calanoida,Copepodite,0.592,0.3145
BBB2101,2021-01-24T20:24Z,2021-01-24T12:24,90,30,33.41795,-117.904683,30,505,RF101,Postflexion,Sebastes semicinctus,10.1106,1.7712,3.6162,Calanoida,Nauplii,0.148,0.1295
BBB2101,2021-01-24T20:24Z,2021-01-24T12:24,90,30,33.41795,-117.904683,30,505,RF101,Postflexion,Sebastes semicinctus,10.1106,1.7712,3.6162,Cyclopoida,Nauplii,0.185,0.111
BBB2101,2021-01-24T20:24Z,2021-01-24T12:24,90,30,33.41795,-117.904683,30,505,RF101,Postflexion,Sebastes semicinctus,10.1106,1.7712,3.6162,Calanoida,Nauplii,0.222,0.148
BBB2101,2021-01-24T20:24Z,2021-01-24T12:24,90,30,33.41795,-117.904683,30,505,RF101,Postflexion,Sebastes semicinctus,10.1106,1.7712,3.6162,Calanoida,Copepodite,0.6475,0.37
BBB2101,2021-01-24T20:24Z,2021-01-24T12:24,90,30,33.41795,-117.904683,30,505,RF101,Postflexion,Sebastes semicinctus,10.1106,1.7712,3.6162,Calanoida,Copepodite,0.4625,0.185
BBB2101,2021-01-24T20:24Z,2021-01-24T12:24,90,30,33.41795,-117.904683,30,505,RF101,Postflexion,Sebastes semicinctus,10.1106,1.7712,3.6162,Calanoida,Nauplii,0.2775,0.111
